session_test_id,experience,problem,other_tests,headphones,age,status,inne,uwagi,session_uuid,trial_id,rating_stimulus,rating_score,rating_time,rating_comment
label_test_3,,,,test,,,test,", test",16e03943-ccc1-4ab9-88c7-fdb0cde3b938,trening,S3500,100,1311,
label_test_3,,,,test,,,test,", test",16e03943-ccc1-4ab9-88c7-fdb0cde3b938,trening,S6000,100,1311,
label_test_3,,,,test,,,test,", test",16e03943-ccc1-4ab9-88c7-fdb0cde3b938,trening,S5000,100,1311,
label_test_3,,,,test,,,test,", test",16e03943-ccc1-4ab9-88c7-fdb0cde3b938,trening,S8000,100,1311,
label_test_3,,,,test,,,test,", test",16e03943-ccc1-4ab9-88c7-fdb0cde3b938,trening,S7000,100,1311,
label_test_3,,,,test,,,test,", test",16e03943-ccc1-4ab9-88c7-fdb0cde3b938,trening,S5500,100,1311,
label_test_3,,,,test,,,test,", test",16e03943-ccc1-4ab9-88c7-fdb0cde3b938,trening,reference,100,1311,
label_test_3,,,,test,,,test,", test",16e03943-ccc1-4ab9-88c7-fdb0cde3b938,trening,S10000,100,1311,
label_test_3,,,,test,,,test,", test",16e03943-ccc1-4ab9-88c7-fdb0cde3b938,trening,S4500,100,1311,
label_test_3,,,,test,,,test,", test",16e03943-ccc1-4ab9-88c7-fdb0cde3b938,trening,S4000,100,1311,
label_test_3,,,,test,,,test,", test",16e03943-ccc1-4ab9-88c7-fdb0cde3b938,trening,S6500,100,1311,
label_test_3,,,,test,,,test,", test",16e03943-ccc1-4ab9-88c7-fdb0cde3b938,lq_no_label,S5000,100,905,
label_test_3,,,,test,,,test,", test",16e03943-ccc1-4ab9-88c7-fdb0cde3b938,lq_no_label,S6500,100,905,
label_test_3,,,,test,,,test,", test",16e03943-ccc1-4ab9-88c7-fdb0cde3b938,lq_no_label,reference,100,905,
label_test_3,,,,test,,,test,", test",16e03943-ccc1-4ab9-88c7-fdb0cde3b938,lq_no_label,S3500,100,905,
label_test_3,,,,test,,,test,", test",16e03943-ccc1-4ab9-88c7-fdb0cde3b938,lq_no_label,S10000,100,905,
label_test_3,,,,test,,,test,", test",16e03943-ccc1-4ab9-88c7-fdb0cde3b938,lq_no_label,S4000,100,905,
label_test_3,,,,test,,,test,", test",16e03943-ccc1-4ab9-88c7-fdb0cde3b938,lq_no_label,S4500,100,905,
label_test_3,,,,test,,,test,", test",16e03943-ccc1-4ab9-88c7-fdb0cde3b938,lq_no_label,S8000,100,905,
label_test_3,,,,test,,,test,", test",16e03943-ccc1-4ab9-88c7-fdb0cde3b938,lq_no_label,S7000,100,905,
label_test_3,,,,test,,,test,", test",16e03943-ccc1-4ab9-88c7-fdb0cde3b938,lq_no_label,S6000,100,905,
label_test_3,,,,test,,,test,", test",16e03943-ccc1-4ab9-88c7-fdb0cde3b938,lq_no_label,S5500,100,905,
label_test_3,,,,test,,,test,", test",16e03943-ccc1-4ab9-88c7-fdb0cde3b938,lq_no_label,S8000,100,692,
label_test_3,,,,test,,,test,", test",16e03943-ccc1-4ab9-88c7-fdb0cde3b938,lq_no_label,S4000,100,692,
label_test_3,,,,test,,,test,", test",16e03943-ccc1-4ab9-88c7-fdb0cde3b938,lq_no_label,S3500,100,692,
label_test_3,,,,test,,,test,", test",16e03943-ccc1-4ab9-88c7-fdb0cde3b938,lq_no_label,reference,100,692,
label_test_3,,,,test,,,test,", test",16e03943-ccc1-4ab9-88c7-fdb0cde3b938,lq_no_label,S6000,100,692,
label_test_3,,,,test,,,test,", test",16e03943-ccc1-4ab9-88c7-fdb0cde3b938,lq_no_label,S10000,100,692,
label_test_3,,,,test,,,test,", test",16e03943-ccc1-4ab9-88c7-fdb0cde3b938,lq_no_label,S4500,100,692,
label_test_3,,,,test,,,test,", test",16e03943-ccc1-4ab9-88c7-fdb0cde3b938,lq_no_label,S5000,100,692,
label_test_3,,,,test,,,test,", test",16e03943-ccc1-4ab9-88c7-fdb0cde3b938,lq_no_label,S5500,100,692,
label_test_3,,,,test,,,test,", test",16e03943-ccc1-4ab9-88c7-fdb0cde3b938,lq_no_label,S6500,100,692,
label_test_3,,,,test,,,test,", test",16e03943-ccc1-4ab9-88c7-fdb0cde3b938,lq_no_label,S7000,100,692,
label_test_3,2,nie,tak,tae1105,25,doktorant,,,2f9b2510-f7a9-4359-9242-38885465a7af,trening,S4500,0,130559,
label_test_3,2,nie,tak,tae1105,25,doktorant,,,2f9b2510-f7a9-4359-9242-38885465a7af,trening,S6000,22,130559,
label_test_3,2,nie,tak,tae1105,25,doktorant,,,2f9b2510-f7a9-4359-9242-38885465a7af,trening,S6500,45,130559,
label_test_3,2,nie,tak,tae1105,25,doktorant,,,2f9b2510-f7a9-4359-9242-38885465a7af,trening,S7000,47,130559,
label_test_3,2,nie,tak,tae1105,25,doktorant,,,2f9b2510-f7a9-4359-9242-38885465a7af,trening,S8000,44,130559,
label_test_3,2,nie,tak,tae1105,25,doktorant,,,2f9b2510-f7a9-4359-9242-38885465a7af,trening,S5000,0,130559,
label_test_3,2,nie,tak,tae1105,25,doktorant,,,2f9b2510-f7a9-4359-9242-38885465a7af,trening,S3500,0,130559,
label_test_3,2,nie,tak,tae1105,25,doktorant,,,2f9b2510-f7a9-4359-9242-38885465a7af,trening,S10000,100,130559,
label_test_3,2,nie,tak,tae1105,25,doktorant,,,2f9b2510-f7a9-4359-9242-38885465a7af,trening,S4000,26,130559,
label_test_3,2,nie,tak,tae1105,25,doktorant,,,2f9b2510-f7a9-4359-9242-38885465a7af,trening,reference,100,130559,
label_test_3,2,nie,tak,tae1105,25,doktorant,,,2f9b2510-f7a9-4359-9242-38885465a7af,trening,S5500,46,130559,
label_test_3,2,nie,tak,tae1105,25,doktorant,,,2f9b2510-f7a9-4359-9242-38885465a7af,lq_no_label,S3500,61,83611,
label_test_3,2,nie,tak,tae1105,25,doktorant,,,2f9b2510-f7a9-4359-9242-38885465a7af,lq_no_label,S5000,22,83611,
label_test_3,2,nie,tak,tae1105,25,doktorant,,,2f9b2510-f7a9-4359-9242-38885465a7af,lq_no_label,S6500,83,83611,
label_test_3,2,nie,tak,tae1105,25,doktorant,,,2f9b2510-f7a9-4359-9242-38885465a7af,lq_no_label,S4500,63,83611,
label_test_3,2,nie,tak,tae1105,25,doktorant,,,2f9b2510-f7a9-4359-9242-38885465a7af,lq_no_label,S7000,81,83611,
label_test_3,2,nie,tak,tae1105,25,doktorant,,,2f9b2510-f7a9-4359-9242-38885465a7af,lq_no_label,S10000,81,83611,
label_test_3,2,nie,tak,tae1105,25,doktorant,,,2f9b2510-f7a9-4359-9242-38885465a7af,lq_no_label,S4000,57,83611,
label_test_3,2,nie,tak,tae1105,25,doktorant,,,2f9b2510-f7a9-4359-9242-38885465a7af,lq_no_label,S8000,79,83611,
label_test_3,2,nie,tak,tae1105,25,doktorant,,,2f9b2510-f7a9-4359-9242-38885465a7af,lq_no_label,reference,100,83611,
label_test_3,2,nie,tak,tae1105,25,doktorant,,,2f9b2510-f7a9-4359-9242-38885465a7af,lq_no_label,S5500,26,83611,
label_test_3,2,nie,tak,tae1105,25,doktorant,,,2f9b2510-f7a9-4359-9242-38885465a7af,lq_no_label,S6000,57,83611,
label_test_3,2,nie,tak,tae1105,25,doktorant,,,2f9b2510-f7a9-4359-9242-38885465a7af,lq_no_label,S8000,82,72923,
label_test_3,2,nie,tak,tae1105,25,doktorant,,,2f9b2510-f7a9-4359-9242-38885465a7af,lq_no_label,S10000,78,72923,
label_test_3,2,nie,tak,tae1105,25,doktorant,,,2f9b2510-f7a9-4359-9242-38885465a7af,lq_no_label,S6500,63,72923,
label_test_3,2,nie,tak,tae1105,25,doktorant,,,2f9b2510-f7a9-4359-9242-38885465a7af,lq_no_label,S6000,62,72923,
label_test_3,2,nie,tak,tae1105,25,doktorant,,,2f9b2510-f7a9-4359-9242-38885465a7af,lq_no_label,S4000,0,72923,
label_test_3,2,nie,tak,tae1105,25,doktorant,,,2f9b2510-f7a9-4359-9242-38885465a7af,lq_no_label,S5500,0,72923,
label_test_3,2,nie,tak,tae1105,25,doktorant,,,2f9b2510-f7a9-4359-9242-38885465a7af,lq_no_label,S7000,81,72923,
label_test_3,2,nie,tak,tae1105,25,doktorant,,,2f9b2510-f7a9-4359-9242-38885465a7af,lq_no_label,reference,100,72923,
label_test_3,2,nie,tak,tae1105,25,doktorant,,,2f9b2510-f7a9-4359-9242-38885465a7af,lq_no_label,S3500,0,72923,
label_test_3,2,nie,tak,tae1105,25,doktorant,,,2f9b2510-f7a9-4359-9242-38885465a7af,lq_no_label,S5000,62,72923,
label_test_3,2,nie,tak,tae1105,25,doktorant,,,2f9b2510-f7a9-4359-9242-38885465a7af,lq_no_label,S4500,57,72923,
label_test_3,,,,test,,,test,test,428d38b6-9806-47ba-b80e-c2d46f5a0d2d,trening,S7000,100,1705,
label_test_3,,,,test,,,test,test,428d38b6-9806-47ba-b80e-c2d46f5a0d2d,trening,reference,100,1705,
label_test_3,,,,test,,,test,test,428d38b6-9806-47ba-b80e-c2d46f5a0d2d,trening,S8000,100,1705,
label_test_3,,,,test,,,test,test,428d38b6-9806-47ba-b80e-c2d46f5a0d2d,trening,S9300,100,1705,
label_test_3,,,,test,,,test,test,428d38b6-9806-47ba-b80e-c2d46f5a0d2d,trening,S3500,100,1705,
label_test_3,,,,test,,,test,test,428d38b6-9806-47ba-b80e-c2d46f5a0d2d,trening,S5500,100,1705,
label_test_3,,,,test,,,test,test,428d38b6-9806-47ba-b80e-c2d46f5a0d2d,trening,S12000,100,1705,
label_test_3,,,,test,,,test,test,428d38b6-9806-47ba-b80e-c2d46f5a0d2d,trening,S10000,100,1705,
label_test_3,,,,test,,,test,test,428d38b6-9806-47ba-b80e-c2d46f5a0d2d,trening,S11300,100,1705,
label_test_3,,,,test,,,test,test,428d38b6-9806-47ba-b80e-c2d46f5a0d2d,trening,S10700,100,1705,
label_test_3,,,,test,,,test,test,428d38b6-9806-47ba-b80e-c2d46f5a0d2d,trening,S8700,100,1705,
label_test_3,,,,test,,,test,test,428d38b6-9806-47ba-b80e-c2d46f5a0d2d,hq_no_label,S7000,100,882,
label_test_3,,,,test,,,test,test,428d38b6-9806-47ba-b80e-c2d46f5a0d2d,hq_no_label,reference,100,882,
label_test_3,,,,test,,,test,test,428d38b6-9806-47ba-b80e-c2d46f5a0d2d,hq_no_label,S10700,100,882,
label_test_3,,,,test,,,test,test,428d38b6-9806-47ba-b80e-c2d46f5a0d2d,hq_no_label,S3500,100,882,
label_test_3,,,,test,,,test,test,428d38b6-9806-47ba-b80e-c2d46f5a0d2d,hq_no_label,S9300,100,882,
label_test_3,,,,test,,,test,test,428d38b6-9806-47ba-b80e-c2d46f5a0d2d,hq_no_label,S5500,100,882,
label_test_3,,,,test,,,test,test,428d38b6-9806-47ba-b80e-c2d46f5a0d2d,hq_no_label,S8000,100,882,
label_test_3,,,,test,,,test,test,428d38b6-9806-47ba-b80e-c2d46f5a0d2d,hq_no_label,S10000,100,882,
label_test_3,,,,test,,,test,test,428d38b6-9806-47ba-b80e-c2d46f5a0d2d,hq_no_label,S12000,100,882,
label_test_3,,,,test,,,test,test,428d38b6-9806-47ba-b80e-c2d46f5a0d2d,hq_no_label,S11300,100,882,
label_test_3,,,,test,,,test,test,428d38b6-9806-47ba-b80e-c2d46f5a0d2d,hq_no_label,S8700,100,882,
label_test_3,,,,test,,,test,test,428d38b6-9806-47ba-b80e-c2d46f5a0d2d,hq_no_label,S9300,100,975,
label_test_3,,,,test,,,test,test,428d38b6-9806-47ba-b80e-c2d46f5a0d2d,hq_no_label,reference,100,975,
label_test_3,,,,test,,,test,test,428d38b6-9806-47ba-b80e-c2d46f5a0d2d,hq_no_label,S12000,100,975,
label_test_3,,,,test,,,test,test,428d38b6-9806-47ba-b80e-c2d46f5a0d2d,hq_no_label,S10700,100,975,
label_test_3,,,,test,,,test,test,428d38b6-9806-47ba-b80e-c2d46f5a0d2d,hq_no_label,S7000,100,975,
label_test_3,,,,test,,,test,test,428d38b6-9806-47ba-b80e-c2d46f5a0d2d,hq_no_label,S3500,100,975,
label_test_3,,,,test,,,test,test,428d38b6-9806-47ba-b80e-c2d46f5a0d2d,hq_no_label,S11300,100,975,
label_test_3,,,,test,,,test,test,428d38b6-9806-47ba-b80e-c2d46f5a0d2d,hq_no_label,S10000,100,975,
label_test_3,,,,test,,,test,test,428d38b6-9806-47ba-b80e-c2d46f5a0d2d,hq_no_label,S5500,100,975,
label_test_3,,,,test,,,test,test,428d38b6-9806-47ba-b80e-c2d46f5a0d2d,hq_no_label,S8700,100,975,
label_test_3,,,,test,,,test,test,428d38b6-9806-47ba-b80e-c2d46f5a0d2d,hq_no_label,S8000,100,975,
label_test_3,,,,"To był test działania ankiety - S. Zieliński",,,"To był test działania ankiety - S. Zieliński","To był test działania ankiety - S. Zieliński",7f1e3dde-c933-4e93-b457-9c9bfdc6cf4b,trening,S11300,100,12538,
label_test_3,,,,"To był test działania ankiety - S. Zieliński",,,"To był test działania ankiety - S. Zieliński","To był test działania ankiety - S. Zieliński",7f1e3dde-c933-4e93-b457-9c9bfdc6cf4b,trening,S7000,100,12538,
label_test_3,,,,"To był test działania ankiety - S. Zieliński",,,"To był test działania ankiety - S. Zieliński","To był test działania ankiety - S. Zieliński",7f1e3dde-c933-4e93-b457-9c9bfdc6cf4b,trening,S10000,100,12538,
label_test_3,,,,"To był test działania ankiety - S. Zieliński",,,"To był test działania ankiety - S. Zieliński","To był test działania ankiety - S. Zieliński",7f1e3dde-c933-4e93-b457-9c9bfdc6cf4b,trening,S8000,100,12538,
label_test_3,,,,"To był test działania ankiety - S. Zieliński",,,"To był test działania ankiety - S. Zieliński","To był test działania ankiety - S. Zieliński",7f1e3dde-c933-4e93-b457-9c9bfdc6cf4b,trening,S9300,100,12538,
label_test_3,,,,"To był test działania ankiety - S. Zieliński",,,"To był test działania ankiety - S. Zieliński","To był test działania ankiety - S. Zieliński",7f1e3dde-c933-4e93-b457-9c9bfdc6cf4b,trening,S12000,100,12538,
label_test_3,,,,"To był test działania ankiety - S. Zieliński",,,"To był test działania ankiety - S. Zieliński","To był test działania ankiety - S. Zieliński",7f1e3dde-c933-4e93-b457-9c9bfdc6cf4b,trening,S5500,100,12538,
label_test_3,,,,"To był test działania ankiety - S. Zieliński",,,"To był test działania ankiety - S. Zieliński","To był test działania ankiety - S. Zieliński",7f1e3dde-c933-4e93-b457-9c9bfdc6cf4b,trening,S3500,100,12538,
label_test_3,,,,"To był test działania ankiety - S. Zieliński",,,"To był test działania ankiety - S. Zieliński","To był test działania ankiety - S. Zieliński",7f1e3dde-c933-4e93-b457-9c9bfdc6cf4b,trening,S8700,100,12538,
label_test_3,,,,"To był test działania ankiety - S. Zieliński",,,"To był test działania ankiety - S. Zieliński","To był test działania ankiety - S. Zieliński",7f1e3dde-c933-4e93-b457-9c9bfdc6cf4b,trening,S10700,100,12538,
label_test_3,,,,"To był test działania ankiety - S. Zieliński",,,"To był test działania ankiety - S. Zieliński","To był test działania ankiety - S. Zieliński",7f1e3dde-c933-4e93-b457-9c9bfdc6cf4b,trening,reference,100,12538,
label_test_3,,,,"To był test działania ankiety - S. Zieliński",,,"To był test działania ankiety - S. Zieliński","To był test działania ankiety - S. Zieliński",7f1e3dde-c933-4e93-b457-9c9bfdc6cf4b,hq_label,S12000,100,5778,
