session_test_id,session_uuid,trial_id,rating_stimulus,rating_score,rating_time,rating_comment
label_test_2,aee8e8d6-0900-4507-be4e-b607e26cda23,trening,S12000,98,154970,
label_test_2,aee8e8d6-0900-4507-be4e-b607e26cda23,trening,S3500,73,154970,
label_test_2,aee8e8d6-0900-4507-be4e-b607e26cda23,trening,S10700,88,154970,
label_test_2,aee8e8d6-0900-4507-be4e-b607e26cda23,trening,S11300,98,154970,
label_test_2,aee8e8d6-0900-4507-be4e-b607e26cda23,trening,S8000,64,154970,
label_test_2,aee8e8d6-0900-4507-be4e-b607e26cda23,trening,S8700,43,154970,
label_test_2,aee8e8d6-0900-4507-be4e-b607e26cda23,trening,S9300,83,154970,
label_test_2,aee8e8d6-0900-4507-be4e-b607e26cda23,trening,S7000,24,154970,
label_test_2,aee8e8d6-0900-4507-be4e-b607e26cda23,trening,reference,100,154970,
label_test_2,aee8e8d6-0900-4507-be4e-b607e26cda23,trening,S10000,70,154970,
label_test_2,aee8e8d6-0900-4507-be4e-b607e26cda23,trening,S5500,29,154970,
label_test_2,aee8e8d6-0900-4507-be4e-b607e26cda23,hq_label,reference,100,47531,
label_test_2,aee8e8d6-0900-4507-be4e-b607e26cda23,hq_label,S7000,68,47531,
label_test_2,aee8e8d6-0900-4507-be4e-b607e26cda23,hq_label,S12000,80,47531,
label_test_2,aee8e8d6-0900-4507-be4e-b607e26cda23,hq_label,S3500,24,47531,
label_test_2,aee8e8d6-0900-4507-be4e-b607e26cda23,hq_label,S8000,39,47531,
label_test_2,aee8e8d6-0900-4507-be4e-b607e26cda23,hq_label,S5500,52,47531,
label_test_2,aee8e8d6-0900-4507-be4e-b607e26cda23,hq_label,S9300,63,47531,
label_test_2,aee8e8d6-0900-4507-be4e-b607e26cda23,hq_label,S11300,93,47531,
label_test_2,aee8e8d6-0900-4507-be4e-b607e26cda23,hq_label,S10700,98,47531,
label_test_2,aee8e8d6-0900-4507-be4e-b607e26cda23,hq_label,S8700,45,47531,
label_test_2,aee8e8d6-0900-4507-be4e-b607e26cda23,hq_label,S10000,95,47531,
label_test_2,aee8e8d6-0900-4507-be4e-b607e26cda23,hq_label,reference,100,73839,
label_test_2,aee8e8d6-0900-4507-be4e-b607e26cda23,hq_label,S9300,69,73839,
label_test_2,aee8e8d6-0900-4507-be4e-b607e26cda23,hq_label,S8000,36,73839,
label_test_2,aee8e8d6-0900-4507-be4e-b607e26cda23,hq_label,S11300,91,73839,
label_test_2,aee8e8d6-0900-4507-be4e-b607e26cda23,hq_label,S12000,99,73839,
label_test_2,aee8e8d6-0900-4507-be4e-b607e26cda23,hq_label,S10000,81,73839,
label_test_2,aee8e8d6-0900-4507-be4e-b607e26cda23,hq_label,S8700,84,73839,
label_test_2,aee8e8d6-0900-4507-be4e-b607e26cda23,hq_label,S3500,17,73839,
label_test_2,aee8e8d6-0900-4507-be4e-b607e26cda23,hq_label,S10700,94,73839,
